# METADATA:
# 000BV: Paris 5Ãšme - Tour Zamansky, Jussieu
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000BV;2026-06-15 04:10:00;15.3;1014.9;70;10;0;;238;;
000BV;2026-06-15 04:20:00;15.3;1014.9;70;10;0;;90;;
000BV;2026-06-15 04:40:00;15.3;1014.8;71;10;0;;41;;
000BV;2026-06-15 04:50:00;15.4;1014.7;71;10;0;;47;;
000BV;2026-06-15 05:10:00;15.4;1014.7;71;10;0;;40;;
000BV;2026-06-15 05:20:00;15.5;1014.7;70;10;0;;31;;
000BV;2026-06-15 05:30:00;15.7;1014.6;70;10;0;;5;;
000BV;2026-06-15 05:40:00;15.8;1014.7;70;10.6;0;;5;;
000BV;2026-06-15 05:50:00;16.1;1014.7;69;10.6;0;;314;;
000BV;2026-06-15 06:10:00;16.3;1014.7;69;10.6;0;;12;;
000BV;2026-06-15 06:20:00;16.9;1014.7;67;10.6;0;;52;;
000BV;2026-06-15 06:40:00;17.2;1014.8;66;10.6;0;;321;;
000BV;2026-06-15 06:50:00;17.4;1014.7;66;11.1;0;;15;;
000BV;2026-06-15 07:00:00;17.8;1014.8;64;11.1;0;;51;;
000BV;2026-06-15 07:10:00;18.3;1014.7;62;10.6;0;;5;;
000BV;2026-06-15 07:20:00;18.9;1014.7;60;11.1;0;;60;;
000BV;2026-06-15 07:40:00;19.2;1014.9;60;11.1;0;;39;;
000BV;2026-06-15 07:50:00;19.7;1014.9;58;11.1;0;;67;;
000BV;2026-06-15 08:00:00;20.1;1014.8;57;11.1;0;;57;;0
000BV;2026-06-15 08:10:00;20.6;1014.9;57;11.7;0;;23;;
000BV;2026-06-15 08:20:00;21.2;1014.9;56;12.2;0;;24;;
000BV;2026-06-15 08:40:00;21.4;1014.8;55;11.7;0;;40;;
000BV;2026-06-15 08:50:00;21.7;1014.6;53;11.7;0;;32;;
000BV;2026-06-15 09:00:00;21.7;1014.4;53;11.7;0;;99;;0
000BV;2026-06-15 09:10:00;22.4;1014.4;54;12.8;0;;17;;
000BV;2026-06-15 09:20:00;22.2;1014.7;53;12.2;0;;282;;
000BV;2026-06-15 09:40:00;22.3;1014.6;52;11.7;0;;76;;
000BV;2026-06-15 09:50:00;22.1;1014.1;54;12.2;0;;265;;
000BV;2026-06-15 10:10:00;22.2;1014.2;53;12.2;0;;40;;
000BV;2026-06-15 10:20:00;22.9;1014.4;53;12.8;0;;248;;
000BV;2026-06-15 10:40:00;23.7;1014.2;51;12.8;0;;88;;
000BV;2026-06-15 10:50:00;23.9;1014.1;48;12.2;0;;271;;
000BV;2026-06-15 11:10:00;24;1013.9;50;12.8;0;;342;;
000BV;2026-06-15 11:20:00;24.3;1013.8;49;12.8;0;;84;;
000BV;2026-06-15 11:30:00;24.4;1013.9;48;12.8;0;;84;;
000BV;2026-06-15 11:40:00;24.7;1014;48;12.8;0;;43;;
000BV;2026-06-15 11:50:00;24.7;1013.9;47;12.8;0;;32;;
000BV;2026-06-15 12:00:00;24.8;1013.8;46;12.2;0;;61;;
000BV;2026-06-15 12:10:00;25.1;1013.7;46;12.8;0;;217;;
000BV;2026-06-15 12:20:00;25.9;1013.6;44;12.8;0;;27;;
000BV;2026-06-15 12:40:00;25.8;1013.4;43;12.2;0;;276;;
000BV;2026-06-15 12:50:00;26.8;1013.3;43;13.3;0;;40;;
000BV;2026-06-15 13:10:00;27.1;1013.2;40;12.2;0;;70;;
000BV;2026-06-15 13:20:00;27.3;1013.1;41;12.8;0;;51;;
000BV;2026-06-15 13:30:00;27.2;1013.1;41;12.8;0;;60;;
000BV;2026-06-15 13:40:00;27.6;1013;39;12.2;0;;53;;
000BV;2026-06-15 13:50:00;27;1012.9;41;12.8;0;;64;;
000BV;2026-06-15 14:10:00;27.1;1012.8;41;12.8;0;;332;;
000BV;2026-06-15 14:20:00;27.8;1012.8;39;12.8;0;;344;;
000BV;2026-06-15 14:30:00;27.6;1012.7;40;12.8;0;;16;;
000BV;2026-06-15 14:40:00;27.3;1012.7;40;12.8;0;;15;;
000BV;2026-06-15 14:50:00;27.4;1012.4;41;12.8;0;;20;;
000BV;2026-06-15 15:10:00;27.4;1012.4;41;12.8;0;;9;;
000BV;2026-06-15 15:20:00;27.3;1012.2;41;12.8;0;;41;;
000BV;2026-06-15 15:30:00;27.6;1011.9;42;13.3;0;;67;;
000BV;2026-06-15 15:40:00;27.9;1011.8;41;13.3;0;;291;;
000BV;2026-06-15 15:50:00;27.8;1011.6;41;13.3;0;;62;;
000BV;2026-06-15 16:10:00;27.6;1011.5;41;13.3;0;;68;;
000BV;2026-06-15 16:20:00;27.4;1011.4;42;13.3;0;;38;;
000BV;2026-06-15 16:30:00;27.4;1011.2;42;13.3;0;;360;;
000BV;2026-06-15 16:40:00;27.5;1011.3;42;13.3;0;;56;;
000BV;2026-06-15 16:50:00;27.3;1011.3;42;13.3;0;;55;;
000BV;2026-06-15 17:10:00;27.2;1011.3;42;13.3;0;;337;;
000BV;2026-06-15 17:20:00;27.1;1011.2;43;13.3;0;;75;;
000BV;2026-06-15 17:30:00;27;1011.1;43;13.3;0;;20;;
000BV;2026-06-15 17:40:00;26.8;1011.3;43;13.3;0;;62;;
000BV;2026-06-15 17:50:00;26.9;1011.5;43;13.3;0;;82;;
000BV;2026-06-15 18:10:00;26.8;1011.4;43;13.3;0;;82;;
000BV;2026-06-15 18:20:00;26.7;1011.8;44;13.3;0;;53;;
000BV;2026-06-15 18:40:00;26.5;1011.8;45;13.3;0;;338;;
000BV;2026-06-15 18:50:00;26.3;1011.9;44;12.8;0;;244;;
000BV;2026-06-15 19:00:00;26.2;1011.8;44;12.8;0;;287;;
000BV;2026-06-15 19:10:00;25.7;1011.6;46;13.3;0;;292;;
000BV;2026-06-15 19:20:00;25.3;1011.8;48;13.3;0;;292;;
000BV;2026-06-15 19:40:00;25.1;1012;49;13.3;0;;292;;
000BV;2026-06-15 19:50:00;24.7;1011.9;50;13.3;0;;292;;
000BV;2026-06-15 20:00:00;24.4;1011.4;54;14.4;0;;292;;0
000BV;2026-06-15 20:10:00;24.1;1011.4;55;14.4;0;;292;;
000BV;2026-06-15 20:20:00;24;1011.6;56;14.4;0;;69;;
000BV;2026-06-15 20:40:00;23.9;1011.6;55;14.4;0;;69;;
000BV;2026-06-15 20:50:00;23.8;1011.6;57;14.4;0;;69;;
000BV;2026-06-15 21:10:00;23.7;1011.8;56;14.4;0;;69;;
000BV;2026-06-15 21:20:00;23.8;1011.8;56;14.4;0;;69;;
000BV;2026-06-15 21:30:00;23.8;1011.7;57;15;0;;69;;
000BV;2026-06-15 21:40:00;23.8;1011.7;57;14.4;0;;69;;
000BV;2026-06-15 21:50:00;23.9;1011.8;56;14.4;0;;69;;
000BV;2026-06-15 22:10:00;23.9;1011.4;56;14.4;0;;60;;
000BV;2026-06-15 22:20:00;23.8;1011.3;56;14.4;0;;53;;
000BV;2026-06-15 22:30:00;23.8;1011.2;55;13.9;0;;34;;
000BV;2026-06-15 22:40:00;23.9;1011.5;54;13.9;0;;34;;
000BV;2026-06-15 22:50:00;24;1011.7;52;13.3;0;;48;;
000BV;2026-06-15 23:00:00;24.2;1011.9;52;13.9;0;;49;;
000BV;2026-06-15 23:10:00;24.3;1011.8;52;13.9;0;;49;;
000BV;2026-06-15 23:20:00;24.2;1011.8;54;14.4;0;;49;;
000BV;2026-06-15 23:40:00;23.9;1011.6;55;14.4;0;;55;;
000BV;2026-06-15 23:50:00;23.8;1011.5;55;14.4;0;;44;;
000BV;2026-06-16 00:00:00;23.8;1011.4;55;14.4;0;;50;;0
000BV;2026-06-16 00:10:00;23.8;1011.3;54;13.9;0;;50;;
000BV;2026-06-16 00:20:00;23.8;1011.2;54;13.9;0;;50;;
000BV;2026-06-16 00:40:00;23.7;1011.3;56;14.4;0;;50;;
000BV;2026-06-16 00:50:00;23.4;1011.2;57;14.4;0;;49;;
000BV;2026-06-16 01:00:00;23.3;1011.3;58;14.4;0;;38;;0
000BV;2026-06-16 01:10:00;23.1;1011.4;59;14.4;0;;38;;
000BV;2026-06-16 01:20:00;23.1;1011.3;60;15;0;;38;;
000BV;2026-06-16 01:30:00;22.9;1011.3;60;14.4;0;;38;;
000BV;2026-06-16 01:40:00;22.8;1010.8;60;14.4;0;;38;;
000BV;2026-06-16 01:50:00;22.6;1010.6;59;13.9;0;;38;;
000BV;2026-06-16 02:10:00;22.5;1010.6;60;14.4;0;;46;;
000BV;2026-06-16 02:20:00;22.4;1010.7;60;14.4;0;;46;;
000BV;2026-06-16 02:30:00;22.3;1010.6;60;13.9;0;;46;;
000BV;2026-06-16 02:40:00;22.1;1010.5;60;13.9;0;;46;;
000BV;2026-06-16 02:50:00;22;1010.4;60;13.9;0;;22;;
000BV;2026-06-16 03:10:00;21.9;1010.4;60;13.9;0;;28;;
000BV;2026-06-16 03:20:00;21.8;1010.4;60;13.9;0;;28;;
000BV;2026-06-16 03:30:00;21.8;1010.3;60;13.3;0;;30;;
000BV;2026-06-16 03:40:00;21.7;1010.3;60;13.3;0;;30;;
000BV;2026-06-16 03:50:00;21.7;1010.4;59;13.3;0;;28;;
000BV;2026-06-16 04:10:00;21.7;1010.3;58;12.8;0;;53;;
000BV;2026-06-16 04:20:00;21.9;1010.5;58;13.3;0;;51;;
000BV;2026-06-16 04:30:00;22;1010.7;58;13.3;0;;305;;
000BV;2026-06-16 04:40:00;22.1;1010.1;59;13.9;0;;306;;
000BV;2026-06-16 04:50:00;22.1;1011.2;58;13.3;0;;307;;
000BV;2026-06-16 05:10:00;22.2;1011.1;57;13.3;0;;75;;
000BV;2026-06-16 05:20:00;22.3;1011;57;13.3;0;;71;;
000BV;2026-06-16 05:40:00;22.5;1010.8;58;13.9;0;;71;;
000BV;2026-06-16 05:50:00;22.6;1010.9;57;13.3;0;;71;;
000BV;2026-06-16 06:00:00;22.7;1010.7;58;13.9;0;;71;;
000BV;2026-06-16 06:10:00;22.7;1010.7;57;13.9;0;;63;;
000BV;2026-06-16 06:20:00;22.9;1010.5;57;13.9;0;;42;;
000BV;2026-06-16 06:40:00;23;1010.7;57;13.9;0;;38;;
000BV;2026-06-16 06:50:00;23.2;1010.7;56;13.9;0;;38;;
000BV;2026-06-16 07:00:00;23.4;1010.7;56;13.9;0;;38;;0
000BV;2026-06-16 07:10:00;23.6;1011;55;13.9;0;;39;;
000BV;2026-06-16 07:20:00;23.7;1011.1;54;13.9;0;;51;;
000BV;2026-06-16 07:40:00;24.1;1011.2;53;13.9;0;;54;;
000BV;2026-06-16 07:50:00;24.7;1011.2;52;13.9;0;;344;;
000BV;2026-06-16 08:00:00;24.9;1011.2;52;14.4;0;;286;;0
000BV;2026-06-16 08:10:00;24.7;1011.5;53;14.4;0;;222;;
000BV;2026-06-16 08:20:00;23.9;1011.6;62;16.1;0;;288;;
000BV;2026-06-16 08:40:00;23.6;1011.6;64;16.1;0;;278;;
000BV;2026-06-16 08:50:00;23.6;1011.6;65;16.7;0;;230;;
000BV;2026-06-16 09:10:00;23.5;1011.7;65;16.7;0;;223;;
000BV;2026-06-16 09:20:00;23.8;1011.9;64;16.7;0;;219;;
000BV;2026-06-16 09:30:00;23.8;1012;64;16.7;0;;237;;
000BV;2026-06-16 09:40:00;24.2;1012.2;64;17.2;0;;215;;
000BV;2026-06-16 09:50:00;24.2;1012.1;64;16.7;0;;287;;
000BV;2026-06-16 10:10:00;24.6;1012.2;64;17.2;0;;256;;
000BV;2026-06-16 10:20:00;24.8;1012.3;62;17.2;0;;197;;
000BV;2026-06-16 10:40:00;24.8;1012.6;62;17.2;0;;209;;
000BV;2026-06-16 10:50:00;25.1;1012.6;60;16.7;0;;206;;
000BV;2026-06-16 11:10:00;25.3;1012.8;59;16.7;0;;285;;
000BV;2026-06-16 11:20:00;25.6;1012.9;57;16.1;0;;222;;
000BV;2026-06-16 11:40:00;25.8;1013;57;16.7;0;;263;;
000BV;2026-06-16 11:50:00;26.1;1013;57;16.7;0;;246;;
000BV;2026-06-16 12:00:00;26.4;1012.9;56;16.7;0;;240;;
000BV;2026-06-16 12:10:00;26.7;1013;56;17.2;0;;183;;
000BV;2026-06-16 12:20:00;26.7;1013;54;16.7;0;;81;;
000BV;2026-06-16 12:40:00;27.1;1013.1;54;16.7;0;;343;;
000BV;2026-06-16 12:50:00;26.9;1013.3;55;17.2;0;;202;;
000BV;2026-06-16 13:00:00;27.1;1013.2;51;16.1;0;;285;;0
000BV;2026-06-16 13:10:00;26.9;1013.4;50;15.6;0;;220;;
000BV;2026-06-16 13:20:00;27.7;1013.3;44;14.4;0;;95;;
000BV;2026-06-16 13:40:00;27.9;1013.3;43;14.4;0;;58;;
000BV;2026-06-16 13:50:00;28.4;1013.4;43;14.4;0;;256;;
000BV;2026-06-16 14:10:00;28;1013.4;43;14.4;0;;315;;
000BV;2026-06-16 14:20:00;28.1;1013.4;40;13.3;0;;234;;
000BV;2026-06-16 14:40:00;28.3;1013.5;41;13.9;0;;252;;
000BV;2026-06-16 14:50:00;28.4;1013.5;40;13.3;0;;247;;
000BV;2026-06-16 15:00:00;28.8;1013.4;39;13.3;0;;284;;
000BV;2026-06-16 15:10:00;28.7;1013.5;40;13.9;0;;51;;
000BV;2026-06-16 15:20:00;29;1013.6;39;13.9;0;;229;;
000BV;2026-06-16 15:30:00;28.7;1013.5;39;13.3;0;;95;;
000BV;2026-06-16 15:40:00;28.8;1013.4;39;13.3;0;;300;;
000BV;2026-06-16 15:50:00;28.9;1013.6;39;13.9;0;;321;;
000BV;2026-06-16 16:10:00;29.1;1013.4;40;14.4;0;;275;;
000BV;2026-06-16 16:20:00;28.8;1013.3;41;14.4;0;;241;;
000BV;2026-06-16 16:30:00;28.6;1013.4;42;14.4;0;;241;;
000BV;2026-06-16 16:40:00;28.3;1013.4;45;15.6;0;;240;;
000BV;2026-06-16 16:50:00;28.2;1013.6;46;15.6;0;;273;;
000BV;2026-06-16 17:10:00;27.8;1013.5;48;15.6;0;;206;;
000BV;2026-06-16 17:20:00;27.6;1013.6;50;16.1;0;;267;;
000BV;2026-06-16 17:40:00;27.3;1013.7;51;16.1;0;;237;;
000BV;2026-06-16 17:50:00;26.8;1013.9;52;16.1;0;;292;;
000BV;2026-06-16 18:10:00;26.8;1013.9;50;15.6;0;;225;;
000BV;2026-06-16 18:20:00;26.4;1014.1;50;15;0;;222;;
000BV;2026-06-16 18:40:00;26.2;1014.2;49;14.4;0;;238;;
000BV;2026-06-16 18:50:00;25.9;1014.3;49;14.4;0;;278;;
000BV;2026-06-16 19:00:00;25.8;1014.4;48;13.9;0;;254;;
000BV;2026-06-16 19:10:00;25.6;1014.4;48;13.9;0;;262;;
000BV;2026-06-16 19:20:00;25.2;1014.4;51;14.4;0;;235;;
000BV;2026-06-16 19:40:00;24.9;1014.6;51;13.9;0;;232;;
000BV;2026-06-16 19:50:00;24.6;1014.8;51;13.9;0;;261;;
000BV;2026-06-16 20:10:00;24.5;1015.1;49;12.8;0;;214;;
000BV;2026-06-16 20:20:00;24.4;1015.1;51;13.3;0;;264;;
000BV;2026-06-16 20:30:00;24.2;1015.3;54;14.4;0;;269;;
000BV;2026-06-16 20:40:00;23.9;1015.3;56;14.4;0;;265;;
000BV;2026-06-16 20:50:00;23.6;1015.4;58;15;0;;269;;
000BV;2026-06-16 21:10:00;23.4;1015.6;58;14.4;0;;265;;
000BV;2026-06-16 21:20:00;23.2;1015.7;60;15;0;;273;;
000BV;2026-06-16 21:40:00;23.1;1015.8;60;15;0;;265;;
000BV;2026-06-16 21:50:00;22.7;1016;61;15;0;;246;;
000BV;2026-06-16 22:10:00;22.6;1016.2;62;15;0;;276;;
000BV;2026-06-16 22:20:00;22.3;1016.4;63;15;0;;277;;
000BV;2026-06-16 22:40:00;22.2;1016.3;63;15;0;;279;;
000BV;2026-06-16 22:50:00;22.1;1016.5;63;14.4;0;;292;;
000BV;2026-06-16 23:00:00;21.9;1016.4;62;14.4;0;;284;;
000BV;2026-06-16 23:10:00;21.8;1016.5;62;13.9;0;;275;;
000BV;2026-06-16 23:20:00;21.7;1016.6;63;14.4;0;;284;;
000BV;2026-06-16 23:40:00;21.6;1016.8;64;14.4;0;;284;;
000BV;2026-06-16 23:50:00;21.3;1016.7;64;14.4;0;;284;;
000BV;2026-06-17 00:10:00;21.2;1016.8;65;14.4;0;;284;;
000BV;2026-06-17 00:20:00;20.8;1016.9;67;14.4;0;;284;;
000BV;2026-06-17 00:40:00;20.7;1016.9;67;14.4;0;;284;;
000BV;2026-06-17 00:50:00;20.6;1016.8;67;14.4;0;;284;;
000BV;2026-06-17 01:10:00;20.6;1016.8;68;14.4;0;;284;;
000BV;2026-06-17 01:20:00;20.4;1016.8;68;14.4;0;;284;;
000BV;2026-06-17 01:30:00;20.3;1016.8;68;14.4;0;;284;;
000BV;2026-06-17 01:40:00;20.2;1016.8;70;14.4;0;;32;;
000BV;2026-06-17 01:50:00;19.9;1016.8;70;14.4;0;;37;;
000BV;2026-06-17 02:10:00;19.8;1016.8;69;13.9;0;;39;;
000BV;2026-06-17 02:20:00;19.5;1016.9;70;13.9;0;;360;;
000BV;2026-06-17 02:40:00;19.4;1016.8;70;13.9;0;;360;;
000BV;2026-06-17 02:50:00;19.3;1016.8;71;13.9;0;;360;;
000BV;2026-06-17 03:00:00;19.3;1016.8;71;13.9;0;;360;;
000BV;2026-06-17 03:10:00;19.3;1017;70;13.9;0;;245;;
000BV;2026-06-17 03:20:00;19.1;1016.9;71;13.9;0;;245;;
000BV;2026-06-17 03:40:00;19.1;1017;71;13.9;0;;245;;
000BV;2026-06-17 03:50:00;19;1017.2;72;13.9;0;;248;;
000BV;2026-06-17 04:10:00;19.1;1017.3;72;13.9;0;;248;;
000BV;2026-06-17 04:20:00;19.3;1017.3;71;13.9;0;;248;;
