# METADATA:
# 000EW: Paris 20Ãšme - Porte de Vincennes
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000EW;2026-06-14 02:20:00;16.8;1019.4;62;9.5;3.2;;45;;
000EW;2026-06-14 02:30:00;16.7;1019.3;62;9.3;3.2;;68;;
000EW;2026-06-14 02:40:00;16.6;1019.3;62;9.3;1.6;;248;;
000EW;2026-06-14 02:50:00;16.5;1019.3;63;9.4;3.2;;45;;
000EW;2026-06-14 03:00:00;16.3;1019.2;63;9.3;3.2;;56;0;0
000EW;2026-06-14 03:10:00;16.3;1019.2;64;9.5;3.2;;79;;
000EW;2026-06-14 03:20:00;16.2;1019.2;64;9.4;3.2;;45;;
000EW;2026-06-14 03:30:00;16.1;1019.2;65;9.5;4;;45;;
000EW;2026-06-14 03:40:00;16.1;1019.2;65;9.5;3.2;;56;;
000EW;2026-06-14 03:50:00;15.9;1019.2;66;9.6;3.2;;68;;
000EW;2026-06-14 04:00:00;15.8;1019.2;67;9.7;3.2;;68;0;0
000EW;2026-06-14 04:10:00;15.8;1019.3;68;9.9;4.8;;45;;
000EW;2026-06-14 04:20:00;15.7;1019.3;69;10;4.8;;45;;
000EW;2026-06-14 04:30:00;15.6;1019.4;69;9.9;5.6;;45;;
000EW;2026-06-14 04:40:00;15.5;1019.4;70;10;4;;34;;
000EW;2026-06-14 04:50:00;15.4;1019.4;71;10.2;4.8;;45;;
000EW;2026-06-14 05:00:00;15.3;1019.4;72;10.3;5.6;;45;0;0
000EW;2026-06-14 05:10:00;15.3;1019.4;73;10.5;3.2;;45;;
000EW;2026-06-14 05:20:00;15.3;1019.4;73;10.5;4;;45;;
000EW;2026-06-14 05:30:00;15.2;1019.4;74;10.6;4.8;;23;;
000EW;2026-06-14 05:40:00;15.2;1019.4;75;10.8;7.2;;23;;
000EW;2026-06-14 05:50:00;15.3;1019.5;74;10.7;4.8;;23;;
000EW;2026-06-14 06:00:00;15.4;1019.6;73;10.6;4;;34;0;0
000EW;2026-06-14 06:10:00;15.6;1019.5;71;10.3;4;;11;;
000EW;2026-06-14 06:20:00;15.7;1019.6;68;9.8;4.8;;23;;
000EW;2026-06-14 06:30:00;16;1019.6;67;9.9;7.2;;0;;
000EW;2026-06-14 06:40:00;16.2;1019.6;64;9.4;7.2;;23;;
