# METADATA:
# 000CT: Paris 6Ãšme - Saint Germain des PrÃ©s
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000CT;2026-06-10 23:30:00;13.2;1023.4;76;9.1;3.2;;319;;
000CT;2026-06-11 00:00:00;12.9;1023.5;78;9.1;3.2;;277;0;0
000CT;2026-06-11 00:30:00;12.7;1023.4;77;8.8;4.8;;277;;
000CT;2026-06-11 01:00:00;12.5;1023.4;77;8.6;4.8;;277;0;0
000CT;2026-06-11 01:30:00;12.2;1023.7;78;8.5;4.8;;275;;
000CT;2026-06-11 02:00:00;12;1023.7;78;8.3;4.8;;290;0;0
000CT;2026-06-11 02:30:00;11.8;1023.7;78;8.1;4.8;;263;;
000CT;2026-06-11 03:00:00;11.6;1023.9;80;8.2;3.2;;313;0;0
000CT;2026-06-11 03:30:00;11.4;1023.9;81;8.3;4.8;;275;;
000CT;2026-06-11 04:00:00;11.4;1024.1;81;8.2;3.2;;317;0;0
000CT;2026-06-11 04:30:00;11.4;1024.3;81;8.2;3.2;;245;;
000CT;2026-06-11 05:00:00;11.3;1024.6;81;8.2;4.8;;297;0;0
000CT;2026-06-11 05:30:00;11.4;1024.8;81;8.3;4.8;;320;;
000CT;2026-06-11 06:00:00;12.1;1025;80;8.8;4.8;;294;0;0
000CT;2026-06-11 06:30:00;12.8;1025.1;78;9;4.8;;303;;
000CT;2026-06-11 07:00:00;13.3;1025.1;77;9.4;6.4;;250;0;0
000CT;2026-06-11 07:30:00;13.9;1025.4;76;9.7;4.8;;214;;
000CT;2026-06-11 08:00:00;15.1;1025.6;69;9.5;6.4;;319;0;0
000CT;2026-06-11 08:30:00;14.8;1025.6;71;9.6;6.4;;334;;
000CT;2026-06-11 09:00:00;16.2;1025.5;65;9.6;3.2;;325;0;0
000CT;2026-06-11 09:30:00;16.7;1025.6;59;8.6;8;;290;;
000CT;2026-06-11 10:00:00;17.5;1025.5;56;8.6;8;;304;0;0
000CT;2026-06-11 10:30:00;18.1;1025.3;54;8.7;4.8;;322;;
000CT;2026-06-11 11:00:00;18.1;1025.5;53;8.4;9.7;;259;0;0
000CT;2026-06-11 11:30:00;18.1;1025.4;54;8.6;6.4;;232;;
000CT;2026-06-11 12:00:00;18.4;1025.5;53;8.6;6.4;;308;0;0
000CT;2026-06-11 12:30:00;18.4;1025.4;54;9;8;;133;;
000CT;2026-06-11 13:00:00;18.7;1025.3;51;8.4;8;;202;0;0
000CT;2026-06-11 13:30:00;18.6;1025.1;54;9.1;6.4;;294;;
000CT;2026-06-11 14:00:00;18.2;1025.1;55;9;6.4;;286;0;0
000CT;2026-06-11 14:30:00;18.4;1025.2;55;9.2;8;;244;;
000CT;2026-06-11 15:00:00;18.3;1024.9;57;9.7;6.4;;240;0;0
000CT;2026-06-11 15:30:00;17.8;1024.9;59;9.7;9.7;;347;;
000CT;2026-06-11 16:00:00;17.6;1024.9;62;10.2;6.4;;281;0;0
000CT;2026-06-11 16:30:00;17.6;1024.8;62;10.2;9.7;;266;;
000CT;2026-06-11 17:00:00;17.9;1024.4;62;10.5;3.2;;192;0;0
000CT;2026-06-11 17:30:00;17.9;1024.1;61;10.3;8;;355;;
000CT;2026-06-11 18:00:00;17.8;1023.9;61;10.2;6.4;;155;0;0
000CT;2026-06-11 18:30:00;17.9;1024.2;61;10.3;4.8;;337;;
000CT;2026-06-11 19:00:00;18;1024.1;62;10.6;4.8;;234;0;0
000CT;2026-06-11 19:30:00;18.2;1024.3;63;11;6.4;;265;;
000CT;2026-06-11 20:00:00;18.2;1024.2;63;11.1;6.4;;290;0;0
000CT;2026-06-11 20:30:00;18.4;1024.3;62;11;3.2;;252;;
000CT;2026-06-11 21:00:00;18.5;1024.3;62;11.1;4.8;;278;0;0
000CT;2026-06-11 21:30:00;18.5;1024.3;63;11.3;3.2;;244;;
000CT;2026-06-11 22:00:00;18.4;1024.2;63;11.3;3.2;;303;0;0
000CT;2026-06-11 22:30:00;18.3;1024.1;65;11.6;4.8;;238;;
000CT;2026-06-11 23:00:00;18.2;1024;66;11.7;6.4;;276;0;0
000CT;2026-06-11 23:30:00;18.1;1024;67;11.9;6.4;;311;;
000CT;2026-06-12 00:00:00;17.9;1023.8;69;12.2;11.3;;252;0;0
000CT;2026-06-12 00:30:00;17.8;1023.8;70;12.3;11.3;;247;;
000CT;2026-06-12 01:00:00;17.7;1023.9;71;12.3;11.3;;264;0;0
000CT;2026-06-12 01:30:00;17.6;1024;72;12.4;9.7;;288;;
000CT;2026-06-12 02:00:00;17.4;1023.8;74;12.8;9.7;;290;0;0
000CT;2026-06-12 02:30:00;17.3;1023.9;75;12.9;11.3;;248;;
000CT;2026-06-12 03:00:00;17.2;1024.1;76;13;9.7;;273;0;0
000CT;2026-06-12 03:30:00;17.1;1024.3;78;13.2;9.7;;285;;
000CT;2026-06-12 04:00:00;17;1024.5;78;13.1;8;;262;0;0
000CT;2026-06-12 04:30:00;16.9;1024.7;78;13.1;9.7;;261;;
000CT;2026-06-12 05:00:00;17;1024.7;79;13.3;9.7;;345;0;0
000CT;2026-06-12 05:30:00;17.2;1024.7;79;13.5;6.4;;287;;
000CT;2026-06-12 06:00:00;17.5;1024.9;79;13.8;6.4;;305;0;0
000CT;2026-06-12 06:30:00;17.7;1024.9;79;14;11.3;;242;;
000CT;2026-06-12 07:00:00;18;1025.4;78;14.1;8;;308;0;0
000CT;2026-06-12 07:30:00;18.1;1025.5;77;14;11.3;;264;;
000CT;2026-06-12 08:00:00;18.7;1025.8;75;14.1;12.9;;252;0;0
000CT;2026-06-12 08:30:00;19;1025.8;74;14.3;12.9;;325;;
000CT;2026-06-12 09:00:00;18.9;1025.8;74;14.2;9.7;;304;0;0
000CT;2026-06-12 09:30:00;19.6;1026.1;72;14.4;6.4;;265;;
000CT;2026-06-12 10:00:00;19.8;1026.1;72;14.6;8;;225;0;0
000CT;2026-06-12 10:30:00;20;1026.2;71;14.6;9.7;;279;;
000CT;2026-06-12 11:00:00;20.9;1026.1;69;15;11.3;;265;0;0
000CT;2026-06-12 11:30:00;21.4;1026.2;68;15.2;11.3;;232;;
000CT;2026-06-12 12:00:00;22.1;1026.1;66;15.4;9.7;;306;0;0
000CT;2026-06-12 12:30:00;22.3;1026;65;15.4;9.7;;258;;
000CT;2026-06-12 13:00:00;22.9;1025.6;63;15.5;9.7;;265;0;0
000CT;2026-06-12 13:30:00;23.2;1025.5;63;15.8;9.7;;269;;
000CT;2026-06-12 14:00:00;23.9;1025.5;60;15.7;11.3;;312;0;0
000CT;2026-06-12 14:30:00;24.2;1025.2;60;15.9;9.7;;315;;
000CT;2026-06-12 15:00:00;24.5;1025.2;59;16;6.4;;269;0;0
000CT;2026-06-12 15:30:00;24.9;1025.1;58;16.1;8;;221;;
000CT;2026-06-12 16:00:00;25.4;1024.9;57;16.3;6.4;;243;0;0
000CT;2026-06-12 16:30:00;26;1024.8;55;16.3;9.7;;306;;
000CT;2026-06-12 17:00:00;25.8;1024.9;54;15.8;11.3;;325;0;0
000CT;2026-06-12 17:30:00;25.9;1024.7;53;15.6;6.4;;311;;
000CT;2026-06-12 18:00:00;25.6;1024.8;52;15;9.7;;245;0;0
000CT;2026-06-12 18:30:00;25.4;1024.9;51;14.6;9.7;;295;;
000CT;2026-06-12 19:00:00;25.2;1024.8;52;14.6;6.4;;302;0;0
000CT;2026-06-12 19:30:00;24.7;1024.7;54;14.8;4.8;;288;;
000CT;2026-06-12 20:00:00;24.3;1025;56;14.9;3.2;;281;0;0
000CT;2026-06-12 20:30:00;23.8;1025.2;57;14.7;4.8;;261;;
000CT;2026-06-12 21:00:00;23.1;1025.4;59;14.7;4.8;;277;0;0
000CT;2026-06-12 21:30:00;22.4;1025.4;62;14.7;6.4;;305;;
000CT;2026-06-12 22:00:00;21.8;1025.3;67;15.4;4.8;;274;0;0
000CT;2026-06-12 22:30:00;21.2;1025.3;68;15.1;6.4;;257;;
000CT;2026-06-12 23:00:00;20.7;1025.2;69;14.8;6.4;;321;0;0
000CT;2026-06-12 23:30:00;20.3;1025.1;70;14.6;6.4;;257;;
000CT;2026-06-13 00:00:00;19.8;1024.9;72;14.6;6.4;;273;0;0
000CT;2026-06-13 00:30:00;19.5;1024.9;72;14.3;8;;266;;
000CT;2026-06-13 01:00:00;19;1024.8;74;14.3;8;;300;0;0
000CT;2026-06-13 01:30:00;18.3;1024.8;77;14.2;12.9;;284;;
000CT;2026-06-13 02:00:00;17.8;1024.9;79;14.1;11.3;;290;0;0
000CT;2026-06-13 02:30:00;17.3;1025.1;81;14;11.3;;292;;
000CT;2026-06-13 03:00:00;17;1025.1;83;14.1;9.7;;297;0;0
000CT;2026-06-13 03:30:00;16.9;1025.3;83;14;8;;318;;
000CT;2026-06-13 04:00:00;16.7;1025.3;83;13.8;12.9;;275;0;0
